Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions,brand,parent_company,number_of_associated_brands,Calculated Discount %,Discount Suspicious,Display Size (inches),Health Feature Count,Smart Feature Count,Price Anomaly
"GameSir Active 2 Round Stay Connected with YouTube, Facebook, and...more",GameSir,1334.0,2099.0,84.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,0,36.4,True,8.0,4,2,False
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,1399.0,1499.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fire-Boltt,Fire-Boltt,0,6.7,True,8.0,2,2,False
"GameSir Gen 9 Round Dial, Bluetoth calling, Health, Sport, Fashio...more",GameSir,1349.0,1461.0,62.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,7.7,True,8.0,4,1,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Mu...more",WTG,704.0,685.0,65.0,Black,Leather,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,0,-2.8,True,8.0,1,1,True
"GameSir 5G Smartphone activepinkg, Women's Health suite, Sleek Di...more",GameSir,1349.0,1365.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,1.2,True,8.0,3,1,False
TECHMAZE Gen 9 Model Fitness Health Music Smartwatch: The Next Ge...more,TECHMAZE,1478.0,1499.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,TECHMAZE,TECHMAZE,0,1.4,True,8.0,1,1,False
"WTG i8 Pink 1.54"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,682.0,691.0,77.0,Black,Metal,Round,"8""",LCD/TFT,False,False,True,Heart Rate,BT Calling,WTG,WTG,0,1.3,True,8.0,1,1,False
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1349.0,697.0,62.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,0,-93.5,True,8.0,4,1,True
GameSir Gen 9 Model Fitness Health Music Play Smartwatch: The Nex...more,GameSir,1351.0,1461.0,62.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,7.5,True,8.0,3,1,False
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,697.0,712.0,77.0,Black,Leather,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,0,2.1,True,8.0,1,1,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1478.0,2164.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,0,31.7,True,8.0,3,1,False
"OXILAG Luxury Gen9 Girls smart watch with Extra strap , Calling N...more",OXILAG,1447.0,1461.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",OXILAG,OXILAG,0,1.0,True,8.0,3,2,False
"Lifelong Luxury Smart Watch for Women |1.39 Inch HD Display, IP67...more",Lifelong,4999.0,1999.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Lifelong,Lifelong Online Retail Private Limited,0,-150.1,True,8.0,3,1,True
"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calling | AI Vo...more",PunnkFunnk,1099.0,698.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,PunnkFunnk,PunnkFunnk,0,-57.4,True,8.0,2,1,True
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1449.0,1399.0,85.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,-3.6,True,8.0,1,2,True
GameSir Grey Active 2 Bluetooth Calling Watch Fitness Health Spor...more,GameSir,1351.0,1349.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,-0.1,True,8.0,3,1,True
Ezerio Gen 9 Smartwatch Women Watch Fashion Luxury Metal Strap Cl...more,Ezerio,918.0,872.0,75.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling,Ezerio,Ezerio,0,-5.3,True,8.0,5,1,True
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1499.0,1509.0,70.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,0,0.7,True,8.0,1,2,False
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,3599.0,4999.0,62.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,28.0,True,8.0,1,2,False
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness Tracker Sp...more,PunnkFunnk,2299.0,2299.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",PunnkFunnk,PunnkFunnk,0,0.0,True,8.0,3,2,False
Wyltron Smartwatch Black T55 series 8 Bluetooth Calling Fitness (...more,Wyltron,697.0,1615.0,74.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,Wyltron,Wyltron,0,56.8,True,8.0,3,1,False
OXILAG Stylish Gen9 smart watch for women with Two strap Calling ...more,OXILAG,1499.0,1349.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",OXILAG,OXILAG,0,-11.1,True,8.0,1,2,True
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1349.0,1399.0,70.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,0,3.6,True,8.0,2,1,False
"MORDEN Active 2 Premium Smartwatch with BT Calling, GPS Tracking,...more",MORDEN,1349.0,1357.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,MORDEN,MORDEN,0,0.6,True,8.0,1,1,False
Luyten tech Latest Model of Gen 9 For GIrls & Women's Smartwatch ...more,Luyten,1199.0,1199.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,Luyten,Luyten,0,0.0,True,8.0,1,1,False
GameSir Silicone Active2 Smart Watch: Alloy Case and Super AMOLED...more,GameSir,1318.0,1349.0,62.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,2.3,True,8.0,3,1,False
"S Traditional Trendy latest Gen9 smartwatch, Golden & Pink strap ...more",S,936.0,889.0,71.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",S,Unknown,0,-5.3,True,8.0,2,2,True
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,2499.0,4999.0,58.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,50.0,False,8.0,1,2,False
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,1505.0,1499.0,62.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,-0.4,True,8.0,1,2,True
"GameSir Active 2 Premium Smartwatch with BT Calling, TWS Connect,...more",GameSir,1318.0,862.0,87.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,-52.9,True,8.0,2,1,True
"GameSir H9 Black Full Screen Touch Watch, Bluetooth calling, Heal...more",GameSir,1326.0,1311.0,79.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,-1.1,True,8.0,2,1,True
FITRIC Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,FITRIC,1505.0,697.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",FITRIC,FITRIC,0,-115.9,True,8.0,3,2,True
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode...more,Fastrack,1509.0,1399.0,62.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Fastrack,Titan Company Limited,0,-7.9,True,8.0,1,2,True
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1699.0,1499.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",WTG,WTG,0,-13.3,True,8.0,1,2,True
OXILAG Gen9 Ladies smartwatch with Two Straps Calling Notificatio...more,OXILAG,1478.0,1349.0,84.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,OXILAG,OXILAG,0,-9.6,True,8.0,3,1,True
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,885.0,1299.0,89.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,31.9,True,8.0,2,2,False
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,695.0,685.0,77.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,0,-1.5,True,8.0,1,1,True
"MVC ENTERPRISE Gen9 Smartwatch (Rose Gold, Pink Strap, FREE SIZE)",MVC,1199.0,1199.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",MVC,Unknown,0,0.0,True,8.0,1,2,False
"GameSir Active 2 Round Stay Connected with YouTube, Facebook, and...more",GameSir,1357.0,1349.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,-0.6,True,8.0,2,1,True
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,1509.0,697.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,0,-116.5,True,8.0,1,2,True
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,1299.0,1199.0,78.0,Black,Metal,Round,"8""",LCD/TFT,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,0,-8.3,True,8.0,2,2,True
Vishaq Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,Vishaq,1461.0,1349.0,70.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,Vishaq,Vishaq,0,-8.3,True,8.0,4,1,True
GameSir Women Men Heart Rate Blood Pressure Fitness Tracker Sport...more,GameSir,1365.0,1328.0,73.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,0,-2.8,True,8.0,2,2,True
"GameSir Active 2 Round Stay Connected with Fashion, Facebook, and...more",GameSir,1365.0,1470.0,62.0,Black,Metal,Round,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0,7.1,True,8.0,3,1,False
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,1499.0,879.0,65.0,Black,Metal,Round,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",MBS,MBS,0,-70.5,True,8.0,4,2,True
"Melbon LAXA-FIT 2.01 AMOLED Display, Smart Health Monitoring, Fit...more",Melbon,868.0,704.0,84.0,Black,Metal,Round,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,Melbon,Melbon,0,-23.3,True,8.0,3,1,True
