Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions,brand,parent_company,Calculated Discount %,Discount Suspicious,Display Size (inches),Health Feature Count,Smart Feature Count,Price Anomaly
GameSir Silicone Active2 Smart Watch: Alloy Case and Super AMOLED...more,GameSir,1318.0,1349.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,2.3,True,8.0,3,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,885.0,1299.0,89.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2","BT Calling, Voice Assistant",GOBOULT,GOBOULT,31.9,True,8.0,2,2,False
"MVC ENTERPRISE Gen9 Smartwatch (Rose Gold, Pink Strap, FREE SIZE)",MVC,1199.0,1199.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",MVC,Unknown,0.0,True,8.0,1,2,False
"GameSir Active 2 Round Stay Connected with Fashion, Facebook, and...more",GameSir,1365.0,1470.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,7.1,True,8.0,3,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,897.0,1615.0,85.0,Black,Leather,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,44.5,True,8.0,2,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,862.0,1199.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2",BT Calling,GOBOULT,GOBOULT,28.1,True,8.0,2,1,False
Fire-Boltt Hunter 51.1mm (2.01) HD Display Bluetooth Calling Sing...more,Fire-Boltt,1499.0,2499.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fire-Boltt,Fire-Boltt,40.0,True,8.0,2,2,False
GameSir Gen 9 Model : The Next Generation of women Fitness Yoga M...more,GameSir,1199.0,1470.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GameSir,GameSir,18.4,True,8.0,1,2,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,2164.0,4999.0,70.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,56.7,False,8.0,3,1,False
GameSir Active 2 Grey Round Stay Connected with Health App Notifi...more,GameSir,1349.0,1357.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,0.6,True,8.0,3,1,False
"Nervfit Pulse, 1.83"" TrueColor+ HD Display, Fitness, HR, BP Track...more",Nervfit,894.0,1209.0,79.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor",BT Calling,Nervfit,Nervfit,26.1,True,8.0,2,1,False
"Nervfit New ACTIV Pro 1.39"" TrueColor+ LED, BT Calls, Steps, HR, ...more",Nervfit,1699.0,2099.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,19.1,True,8.0,3,2,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,1449.0,1499.0,65.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GOBOULT,GOBOULT,3.3,True,8.0,2,2,False
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,1666.0,2416.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",sweetex,Sweetex,31.0,True,8.0,1,2,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1349.0,1467.0,73.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,8.0,True,8.0,3,1,False
"Nervfit Vibe 1.85"" TrueColor+ Super HD, BT Calls, Waterproof, HR,...more",Nervfit,697.0,2099.0,93.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,66.8,True,8.0,2,2,False
GameSir Gen 9 Metal Rose Gold Smart watch for Girls & Women Bluet...more,GameSir,1349.0,1509.0,84.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,GameSir,GameSir,10.6,True,8.0,3,1,False
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,1478.0,1509.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,2.1,True,8.0,3,2,False
"ATSK HUB Trendy latest Gen9 smartwatch, Golden & Pink strap ,hd d...more",ATSK,1349.0,1351.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,ATSK,ATSK,0.1,True,8.0,3,1,False
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,1505.0,3599.0,62.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Fastrack,Titan Company Limited,58.2,False,8.0,3,2,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1470.0,4999.0,58.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",WTG,WTG,70.6,False,8.0,1,2,False
"GameSir Bluetooth Calling Smartwatch with Round HD Display, Fitne...more",GameSir,1349.0,1470.0,85.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,GameSir,GameSir,8.2,True,8.0,1,1,False
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,846.0,1399.0,89.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",GOBOULT,GOBOULT,39.5,True,8.0,1,2,False
"GameSir Active 2 Premium Smartwatch with BT Calling, TWS Connect,...more",GameSir,1349.0,1349.0,62.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,GameSir,GameSir,0.0,True,8.0,1,1,False
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,697.0,1461.0,70.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",SUSTAINIX,SUSTAINIX,52.3,True,8.0,1,2,False
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,685.0,879.0,65.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",MBS,MBS,22.1,True,8.0,1,2,False
"GameSir T55 Pink 1.39"" Full Touch Display, Music, Fitness, Sports...more",GameSir,691.0,699.0,76.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,GameSir,GameSir,1.1,True,8.0,3,1,False
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1461.0,1505.0,84.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling,WTG,WTG,2.9,True,8.0,4,1,False
"Nervfit New Launch Orion S1 1.43"" AMOLED with AOD, BT Calling, Pr...more",Nervfit,1505.0,2499.0,44.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant",Nervfit,Nervfit,39.8,False,8.0,3,2,False
Nikki Trades Gen 9 Model Fitness Health Music Smartwatch: The Nex...more,Nikki,1470.0,1478.0,70.0,Black,Metal,"8""",AMOLED,False,True,True,"Step Count, Heart Rate, Sleep Monitor",BT Calling,Nikki,Nikki,0.5,True,8.0,3,1,False
GameSir Gen 9 Smartwatch Luxury Design Specially for Girls & Wome...more,GameSir,1349.0,1365.0,62.0,Black,Metal,"8""",AMOLED,True,True,True,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant",GameSir,GameSir,1.2,True,8.0,5,2,False
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,1505.0,24999.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,BT Calling,WTG,WTG,94.0,False,8.0,1,1,False
Melbon Gen9 Trendy Design–The Perfect Valentine’s Gift for Your L...more,Melbon,1349.0,1461.0,71.0,Black,Metal,"8""",AMOLED,False,False,True,"Heart Rate, SpO2, Sleep Monitor",BT Calling,Melbon,Melbon,7.7,True,8.0,3,1,False
"WTG Active 2 Premium Round Smartwatch with BT Calling, Fitness Mo...more",WTG,1467.0,1470.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",WTG,WTG,0.2,True,8.0,1,2,False
"Maxima Max Pro Velocity 1.83""Ultra HD 2.5D Curved Display,BT Call...more",Maxima,2099.0,2099.0,84.0,Black,Metal,"8""",AMOLED,False,False,True,Heart Rate,"BT Calling, Voice Assistant",Maxima,Maxima,0.0,True,8.0,1,2,False
